Value,Year announced,Month announced,Implementer,Implementer ISO
12,2021,10,Canada,CAN
12,2014,6,Germany,DEU
12,2017,11,France,FRA
12,2017,4,Germany,DEU
12,2010,10,Germany,DEU
12,2024,5,Russia,RUS
12,2022,5,Germany,DEU
12,2013,7,India,IND
12,2021,6,France,FRA
12,2023,9,Canada,CAN
12,2014,9,Russia,RUS
12,2010,12,Switzerland,CHE
12,2018,7,India,IND
12,2016,7,India,IND
12,2022,5,France,FRA
12,2017,10,United States of America,USA
12,2015,7,Russia,RUS
12,2012,12,Japan,JPN
12,2016,7,Brazil,BRA
12,2018,3,Russia,RUS
12,2022,7,Russia,RUS
12,2021,7,India,IND
12,2010,1,Japan,JPN
12,2009,8,France,FRA
12,2011,7,Canada,CAN
12,2013,5,Germany,DEU
12,2020,10,Canada,CAN
12,2023,9,Mexico,MEX
12,2018,6,Argentina,ARG
12,2010,1,Germany,DEU
12,2017,1,Germany,DEU
12,2008,11,China,CHN
12,2012,1,France,FRA
12,2011,8,Germany,DEU
12,2015,12,India,IND
12,2018,3,India,IND
12,2018,9,Brazil,BRA
12,2011,3,India,IND
12,2016,3,France,FRA
12,2015,3,Russia,RUS
12,2009,1,France,FRA
12,2014,2,Germany,DEU
12,2019,1,Brazil,BRA
12,2016,2,Brazil,BRA
12,2014,9,India,IND
12,2015,2,Canada,CAN
12,2015,4,Russia,RUS
12,2013,7,Russia,RUS
12,2013,12,Japan,JPN
12,2016,12,Argentina,ARG
12,2016,4,France,FRA
12,2023,5,India,IND
12,2022,8,Russia,RUS
12,2012,6,India,IND
12,2014,11,India,IND
12,2018,8,Brazil,BRA
12,2019,7,China,CHN
12,2019,11,Brazil,BRA
12,2018,7,Russia,RUS
12,2024,8,India,IND
12,2016,4,Germany,DEU
12,2015,5,Canada,CAN
12,2018,11,France,FRA
12,2011,4,Germany,DEU
11,2019,6,Japan,JPN
11,2019,5,France,FRA
11,2017,3,China,CHN
11,2022,7,Japan,JPN
11,2012,8,India,IND
11,2019,5,Argentina,ARG
11,2024,5,Canada,CAN
11,2021,12,Argentina,ARG
11,2021,4,Russia,RUS
11,2009,3,France,FRA
11,2011,2,Canada,CAN
11,2014,3,Russia,RUS
11,2009,3,India,IND
11,2019,10,Germany,DEU
11,2010,11,Canada,CAN
11,2014,7,India,IND
11,2016,8,Canada,CAN
11,2009,11,Canada,CAN
11,2020,11,India,IND
11,2023,6,Mexico,MEX
11,2023,1,France,FRA
11,2022,11,Russia,RUS
11,2014,3,Japan,JPN
11,2016,9,Russia,RUS
11,2015,9,India,IND
11,2022,5,Brazil,BRA
11,2011,12,France,FRA
11,2012,9,India,IND
11,2012,10,Germany,DEU
11,2023,4,Russia,RUS
11,2014,2,Russia,RUS
11,2017,8,France,FRA
11,2024,10,Canada,CAN
11,2011,9,Canada,CAN
11,2016,1,France,FRA
11,2011,2,Argentina,ARG
11,2019,1,Japan,JPN
11,2018,1,France,FRA
11,2017,10,China,CHN
11,2019,1,Argentina,ARG
11,2021,10,Brazil,BRA
11,2020,8,Canada,CAN
11,2017,10,India,IND
11,2013,6,Switzerland,CHE
11,2012,1,India,IND
11,2013,2,India,IND
11,2011,5,France,FRA
11,2019,12,Russia,RUS
11,2022,10,Russia,RUS
11,2017,6,China,CHN
11,2009,2,Canada,CAN
11,2021,6,Japan,JPN
11,2017,2,Canada,CAN
11,2011,1,Canada,CAN
11,2011,10,Germany,DEU
11,2023,12,Argentina,ARG
11,2023,1,Canada,CAN
11,2015,2,Russia,RUS
11,2022,9,Japan,JPN
11,2010,12,China,CHN
11,2021,6,Russia,RUS
11,2022,2,Russia,RUS
11,2019,7,Brazil,BRA
11,2021,11,Russia,RUS
11,2009,12,France,FRA
11,2016,9,Germany,DEU
11,2012,7,Argentina,ARG
11,2023,5,France,FRA
11,2016,4,India,IND
11,2011,6,Argentina,ARG
11,2009,2,Argentina,ARG
11,2019,12,India,IND
11,2018,6,Russia,RUS
11,2010,10,Canada,CAN
11,2016,9,India,IND
11,2022,6,Argentina,ARG
10,2009,1,Argentina,ARG
10,2014,1,India,IND
10,2013,1,India,IND
10,2011,5,Argentina,ARG
10,2018,6,France,FRA
10,2017,5,India,IND
10,2015,11,Russia,RUS
10,2014,9,Argentina,ARG
10,2021,3,Argentina,ARG
10,2016,4,Russia,RUS
10,2021,8,Russia,RUS
10,2017,5,China,CHN
10,2025,1,Japan,JPN
10,2015,4,France,FRA
10,2017,3,India,IND
10,2019,4,India,IND
10,2021,9,Canada,CAN
10,2012,3,France,FRA
10,2010,4,India,IND
10,2009,3,Argentina,ARG
10,2015,3,India,IND
10,2017,9,Germany,DEU
10,2024,2,Russia,RUS
10,2012,9,France,FRA
10,2015,3,Argentina,ARG
10,2021,1,Brazil,BRA
10,2023,10,China,CHN
10,2015,10,Germany,DEU
10,2024,10,China,CHN
10,2009,9,Argentina,ARG
10,2019,8,India,IND
10,2015,2,Germany,DEU
10,2022,9,France,FRA
10,2014,8,Russia,RUS
10,2013,8,Russia,RUS
10,2013,10,India,IND
10,2017,11,Russia,RUS
10,2012,6,Argentina,ARG
10,2024,8,Canada,CAN
10,2014,5,Germany,DEU
10,2017,6,Brazil,BRA
10,2020,4,Russia,RUS
10,2023,6,Canada,CAN
10,2021,7,Russia,RUS
10,2012,5,Argentina,ARG
10,2009,5,Argentina,ARG
10,2011,11,Argentina,ARG
10,2017,6,France,FRA
10,2010,8,Canada,CAN
10,2016,5,China,CHN
10,2023,5,Mexico,MEX
10,2015,4,Japan,JPN
10,2019,8,Canada,CAN
10,2015,7,India,IND
10,2023,11,Mexico,MEX
10,2018,9,India,IND
10,2009,10,Russia,RUS
10,2020,3,Russia,RUS
10,2010,3,Canada,CAN
10,2024,7,Russia,RUS
10,2016,8,India,IND
10,2024,11,France,FRA
10,2011,8,India,IND
10,2014,10,Germany,DEU
10,2014,3,India,IND
10,2024,11,India,IND
10,2009,7,Argentina,ARG
10,2020,12,India,IND
10,2011,3,Argentina,ARG
10,2010,7,India,IND
10,2016,11,Russia,RUS
10,2013,5,Argentina,ARG
10,2012,8,Russia,RUS
10,2010,12,India,IND
10,2015,6,France,FRA
10,2024,4,Mexico,MEX
10,2023,8,France,FRA
10,2022,1,Brazil,BRA
10,2023,2,Brazil,BRA
9,2010,8,Germany,DEU
9,2010,2,Argentina,ARG
9,2010,6,Switzerland,CHE
9,2015,8,India,IND
9,2014,2,Switzerland,CHE
9,2010,2,Germany,DEU
9,2010,7,Canada,CAN
9,2017,11,China,CHN
9,2014,7,Switzerland,CHE
9,2013,11,Japan,JPN
9,2023,1,India,IND
9,2023,10,Mexico,MEX
9,2009,4,Argentina,ARG
9,2009,9,France,FRA
9,2016,6,China,CHN
9,2013,9,Russia,RUS
9,2014,7,France,FRA
9,2012,12,Argentina,ARG
9,2019,9,Germany,DEU
9,2019,3,Mexico,MEX
9,2010,9,Germany,DEU
9,2011,5,Canada,CAN
9,2014,10,France,FRA
9,2013,9,Japan,JPN
9,2020,6,Russia,RUS
9,2014,5,Switzerland,CHE
9,2023,3,Switzerland,CHE
9,2009,11,Russia,RUS
9,2024,2,Canada,CAN
9,2017,1,Switzerland,CHE
9,2014,10,China,CHN
9,2019,2,Argentina,ARG
9,2019,4,China,CHN
9,2009,6,Russia,RUS
9,2011,1,France,FRA
9,2021,9,Russia,RUS
9,2015,5,Russia,RUS
9,2009,10,India,IND
9,2012,6,Germany,DEU
9,2019,2,Russia,RUS
9,2012,12,China,CHN
9,2016,1,Russia,RUS
9,2011,2,Germany,DEU
9,2021,8,Argentina,ARG
9,2023,4,France,FRA
9,2023,7,Japan,JPN
9,2014,1,Japan,JPN
9,2019,6,France,FRA
9,2018,5,France,FRA
9,2022,10,Switzerland,CHE
9,2015,9,Russia,RUS
9,2018,3,France,FRA
9,2016,1,Canada,CAN
9,2014,11,Switzerland,CHE
9,2024,12,Japan,JPN
9,2012,2,Russia,RUS
9,2019,12,China,CHN
9,2023,3,Argentina,ARG
9,2014,8,Mexico,MEX
9,2009,9,Canada,CAN
9,2022,11,Argentina,ARG
9,2017,3,Russia,RUS
9,2010,5,Canada,CAN
9,2014,9,France,FRA
9,2015,9,Japan,JPN
9,2016,4,Brazil,BRA
9,2009,3,Russia,RUS
9,2016,1,Japan,JPN
9,2019,1,France,FRA
9,2023,8,Switzerland,CHE
9,2017,12,India,IND
9,2015,9,Switzerland,CHE
9,2011,2,India,IND
9,2009,3,Canada,CAN
9,2018,1,Argentina,ARG
9,2009,6,China,CHN
9,2016,10,Brazil,BRA
9,2018,9,France,FRA
9,2022,2,Switzerland,CHE
8,2017,11,India,IND
8,2013,1,France,FRA
8,2014,1,France,FRA
8,2017,6,Switzerland,CHE
8,2012,5,Germany,DEU
8,2010,11,China,CHN
8,2018,10,France,FRA
8,2016,10,France,FRA
8,2010,1,Canada,CAN
8,2010,9,India,IND
8,2011,11,Germany,DEU
8,2013,12,Argentina,ARG
8,2025,4,China,CHN
8,2008,12,Argentina,ARG
8,2020,3,China,CHN
8,2023,2,Japan,JPN
8,2013,7,France,FRA
8,2018,6,China,CHN
8,2021,10,India,IND
8,2024,2,Japan,JPN
8,2023,8,Russia,RUS
8,2021,1,India,IND
8,2025,2,Mexico,MEX
8,2011,7,France,FRA
8,2019,7,Japan,JPN
8,2025,1,Russia,RUS
8,2015,7,Switzerland,CHE
8,2020,2,Brazil,BRA
8,2022,5,Argentina,ARG
8,2009,4,France,FRA
8,2011,3,Russia,RUS
8,2024,10,France,FRA
8,2020,8,China,CHN
8,2009,4,China,CHN
8,2011,10,Argentina,ARG
8,2015,11,China,CHN
8,2016,5,Russia,RUS
8,2012,9,China,CHN
8,2014,1,Argentina,ARG
8,2011,7,China,CHN
8,2013,1,Argentina,ARG
8,2019,2,India,IND
8,2013,12,Russia,RUS
8,2018,12,India,IND
8,2018,7,China,CHN
8,2012,5,India,IND
8,2017,1,Japan,JPN
8,2012,3,China,CHN
8,2022,5,China,CHN
8,2014,6,Russia,RUS
8,2010,4,Canada,CAN
8,2016,2,Germany,DEU
8,2022,3,Argentina,ARG
8,2012,10,Russia,RUS
8,2016,11,India,IND
8,2017,6,India,IND
8,2013,11,Russia,RUS
8,2018,11,India,IND
8,2024,4,France,FRA
8,2014,9,Switzerland,CHE
8,2015,1,India,IND
8,2017,8,Russia,RUS
8,2013,4,France,FRA
8,2016,3,India,IND
8,2022,9,Argentina,ARG
8,2012,7,India,IND
8,2020,5,Japan,JPN
8,2011,3,France,FRA
8,2019,3,Japan,JPN
8,2021,10,Argentina,ARG
8,2012,11,Japan,JPN
8,2024,11,Canada,CAN
8,2018,8,France,FRA
8,2012,9,Switzerland,CHE
8,2011,9,Argentina,ARG
8,2017,5,Russia,RUS
8,2011,6,Russia,RUS
8,2021,8,China,CHN
8,2015,1,Germany,DEU
8,2009,12,India,IND
8,2021,8,France,FRA
8,2009,9,Russia,RUS
8,2014,7,Russia,RUS
8,2020,12,China,CHN
8,2023,8,Mexico,MEX
8,2013,4,Switzerland,CHE
8,2024,5,India,IND
8,2020,1,France,FRA
8,2017,9,Russia,RUS
8,2023,11,India,IND
8,2018,7,Japan,JPN
8,2020,10,Argentina,ARG
8,2024,6,Japan,JPN
8,2009,5,Canada,CAN
8,2022,5,Japan,JPN
8,2020,7,France,FRA
8,2015,6,India,IND
8,2010,10,Russia,RUS
8,2016,4,China,CHN
8,2016,2,India,IND
8,2011,9,India,IND
8,2017,12,Argentina,ARG
7,2012,2,India,IND
7,2018,8,Russia,RUS
7,2015,2,India,IND
7,2017,5,France,FRA
7,2014,12,India,IND
7,2019,5,India,IND
7,2018,10,India,IND
7,2009,11,China,CHN
7,2019,3,China,CHN
7,2009,9,China,CHN
7,2022,3,Mexico,MEX
7,2012,1,Japan,JPN
7,2013,5,Russia,RUS
7,2020,1,Canada,CAN
7,2011,10,China,CHN
7,2017,5,Brazil,BRA
7,2022,9,Mexico,MEX
7,2015,8,France,FRA
7,2010,8,Argentina,ARG
7,2023,1,Switzerland,CHE
7,2019,11,France,FRA
7,2024,3,Canada,CAN
7,2017,7,Russia,RUS
7,2016,4,Switzerland,CHE
7,2015,3,Germany,DEU
7,2019,11,Canada,CAN
7,2012,4,India,IND
7,2012,4,Argentina,ARG
7,2017,2,United States of America,USA
7,2013,3,Argentina,ARG
7,2021,12,Mexico,MEX
7,2010,7,Argentina,ARG
7,2024,1,Switzerland,CHE
7,2014,4,Japan,JPN
7,2017,2,China,CHN
7,2022,6,Japan,JPN
7,2009,12,Argentina,ARG
7,2010,4,France,FRA
7,2018,9,Russia,RUS
7,2017,8,China,CHN
7,2018,7,Brazil,BRA
7,2013,10,France,FRA
7,2022,1,Russia,RUS
7,2016,7,Argentina,ARG
7,2014,4,Russia,RUS
7,2015,11,France,FRA
7,2014,9,Japan,JPN
7,2016,12,Switzerland,CHE
7,2020,8,France,FRA
7,2011,9,Switzerland,CHE
7,2018,1,Brazil,BRA
7,2018,5,Argentina,ARG
7,2019,2,Brazil,BRA
7,2022,4,Switzerland,CHE
7,2023,9,Japan,JPN
7,2025,3,Brazil,BRA
7,2022,1,Canada,CAN
7,2015,5,France,FRA
7,2012,2,Switzerland,CHE
7,2014,12,Mexico,MEX
7,2023,4,Argentina,ARG
7,2020,2,Canada,CAN
7,2010,9,Argentina,ARG
7,2016,1,Argentina,ARG
7,2011,11,India,IND
7,2024,3,Mexico,MEX
7,2024,4,India,IND
7,2022,7,India,IND
7,2010,6,France,FRA
7,2025,2,Japan,JPN
7,2022,2,Japan,JPN
7,2014,8,Argentina,ARG
7,2020,10,China,CHN
7,2010,2,Canada,CAN
7,2016,6,Russia,RUS
7,2017,6,Germany,DEU
7,2023,12,Japan,JPN
7,2012,8,Argentina,ARG
7,2015,7,Argentina,ARG
7,2009,7,France,FRA
7,2018,10,Japan,JPN
7,2025,1,Germany,DEU
7,2009,7,India,IND
7,2011,12,Argentina,ARG
7,2010,1,France,FRA
7,2011,1,Japan,JPN
7,2015,10,Argentina,ARG
7,2019,1,India,IND
7,2015,8,Russia,RUS
7,2019,4,Russia,RUS
7,2011,12,Japan,JPN
6,2010,5,France,FRA
6,2016,6,France,FRA
6,2011,12,Russia,RUS
6,2011,6,France,FRA
6,2014,7,China,CHN
6,2014,10,Switzerland,CHE
6,2010,11,India,IND
6,2021,6,China,CHN
6,2013,2,Japan,JPN
6,2019,11,India,IND
6,2017,9,Switzerland,CHE
6,2019,1,Russia,RUS
6,2009,5,France,FRA
6,2020,12,Japan,JPN
6,2011,4,Canada,CAN
6,2014,5,Russia,RUS
6,2015,1,Argentina,ARG
6,2018,2,Argentina,ARG
6,2022,10,Japan,JPN
6,2020,11,Argentina,ARG
6,2019,12,Japan,JPN
6,2011,10,France,FRA
6,2016,11,Brazil,BRA
6,2022,2,Argentina,ARG
6,2020,9,China,CHN
6,2022,8,France,FRA
6,2021,6,Argentina,ARG
6,2017,9,India,IND
6,2010,4,Mexico,MEX
6,2009,7,Russia,RUS
6,2018,8,Argentina,ARG
6,2012,2,China,CHN
6,2018,3,Japan,JPN
6,2024,5,Argentina,ARG
6,2009,9,India,IND
6,2013,7,Switzerland,CHE
6,2017,8,Argentina,ARG
6,2017,4,India,IND
6,2023,1,Mexico,MEX
6,2024,5,Japan,JPN
6,2016,4,Japan,JPN
6,2020,11,Russia,RUS
6,2011,4,Japan,JPN
6,2013,6,China,CHN
6,2021,10,Russia,RUS
6,2013,4,Russia,RUS
6,2015,12,Japan,JPN
6,2012,4,Germany,DEU
6,2022,8,Mexico,MEX
6,2015,9,France,FRA
6,2018,11,Japan,JPN
6,2024,4,Canada,CAN
6,2017,3,Germany,DEU
6,2021,5,Russia,RUS
6,2020,6,Argentina,ARG
6,2016,6,Switzerland,CHE
6,2015,1,Russia,RUS
6,2009,2,France,FRA
6,2025,1,Canada,CAN
6,2015,9,China,CHN
6,2017,6,Russia,RUS
6,2010,4,China,CHN
6,2008,11,Argentina,ARG
6,2016,12,India,IND
6,2013,6,France,FRA
6,2015,6,Japan,JPN
6,2012,6,Japan,JPN
6,2014,6,France,FRA
6,2016,2,Japan,JPN
6,2010,2,France,FRA
6,2012,11,India,IND
6,2015,9,Argentina,ARG
6,2011,6,Switzerland,CHE
6,2009,6,India,IND
6,2009,8,Russia,RUS
6,2014,8,India,IND
6,2016,5,Switzerland,CHE
6,2009,6,France,FRA
6,2020,6,China,CHN
6,2011,3,China,CHN
6,2024,7,Japan,JPN
6,2018,3,China,CHN
6,2010,6,Argentina,ARG
6,2011,6,Japan,JPN
6,2020,12,Mexico,MEX
6,2011,4,Argentina,ARG
6,2023,1,Japan,JPN
6,2016,9,Brazil,BRA
6,2013,7,Japan,JPN
6,2014,7,Japan,JPN
6,2014,4,France,FRA
6,2022,1,India,IND
6,2017,3,Japan,JPN
6,2013,7,Argentina,ARG
6,2008,11,France,FRA
6,2014,3,Switzerland,CHE
6,2016,8,France,FRA
6,2014,1,Switzerland,CHE
6,2021,5,Argentina,ARG
6,2019,11,Japan,JPN
6,2016,7,Switzerland,CHE
6,2018,4,Argentina,ARG
6,2023,6,Argentina,ARG
6,2012,10,France,FRA
6,2024,8,Mexico,MEX
6,2012,9,Japan,JPN
6,2023,2,Switzerland,CHE
6,2017,4,Japan,JPN
6,2023,9,Argentina,ARG
6,2018,4,France,FRA
6,2020,7,China,CHN
6,2024,2,Mexico,MEX
6,2012,3,Switzerland,CHE
6,2014,3,France,FRA
6,2018,2,China,CHN
6,2019,9,Argentina,ARG
6,2021,4,France,FRA
6,2013,1,Switzerland,CHE
6,2010,11,Argentina,ARG
6,2020,9,Russia,RUS
6,2013,11,India,IND
6,2013,5,France,FRA
6,2017,1,India,IND
6,2012,2,Argentina,ARG
6,2013,6,Japan,JPN
6,2019,5,Russia,RUS
6,2018,11,Argentina,ARG
6,2009,8,Canada,CAN
6,2018,12,Japan,JPN
6,2010,4,Russia,RUS
6,2016,12,Japan,JPN
6,2013,8,China,CHN
6,2019,9,Japan,JPN
5,2011,5,Japan,JPN
5,2017,6,Japan,JPN
5,2022,2,China,CHN
5,2018,12,Russia,RUS
5,2012,4,China,CHN
5,2013,2,Switzerland,CHE
5,2012,2,France,FRA
5,2012,11,Russia,RUS
5,2011,10,India,IND
5,2022,4,Brazil,BRA
5,2016,11,Switzerland,CHE
5,2018,2,Russia,RUS
5,2008,12,Russia,RUS
5,2022,12,Switzerland,CHE
5,2023,11,Japan,JPN
5,2019,11,China,CHN
5,2014,8,Japan,JPN
5,2013,8,Japan,JPN
5,2017,7,Argentina,ARG
5,2013,8,Switzerland,CHE
5,2018,4,Russia,RUS
5,2010,9,France,FRA
5,2015,4,Argentina,ARG
5,2018,7,Argentina,ARG
5,2009,5,China,CHN
5,2024,10,Mexico,MEX
5,2019,4,Mexico,MEX
5,2024,9,Canada,CAN
5,2019,9,Brazil,BRA
5,2019,5,China,CHN
5,2012,7,Japan,JPN
5,2012,4,France,FRA
5,2024,6,Mexico,MEX
5,2022,1,Japan,JPN
5,2019,2,China,CHN
5,2015,3,France,FRA
5,2024,1,Mexico,MEX
5,2019,8,Argentina,ARG
5,2022,2,Mexico,MEX
5,2021,2,Japan,JPN
5,2017,4,France,FRA
5,2016,8,Argentina,ARG
5,2024,12,Mexico,MEX
5,2012,5,China,CHN
5,2014,6,China,CHN
5,2021,11,Argentina,ARG
5,2011,8,Argentina,ARG
5,2009,2,China,CHN
5,2019,7,Argentina,ARG
5,2011,11,Japan,JPN
5,2015,6,Argentina,ARG
5,2020,12,Argentina,ARG
5,2011,8,Japan,JPN
5,2020,3,Argentina,ARG
5,2014,11,Argentina,ARG
5,2023,8,Argentina,ARG
5,2016,10,Argentina,ARG
5,2011,10,Mexico,MEX
5,2023,7,Mexico,MEX
5,2010,5,Argentina,ARG
5,2013,5,Switzerland,CHE
5,2014,5,Japan,JPN
5,2024,3,Switzerland,CHE
5,2020,3,Mexico,MEX
5,2015,5,India,IND
5,2013,12,Mexico,MEX
5,2015,3,China,CHN
5,2015,11,India,IND
5,2019,11,Argentina,ARG
5,2022,12,Argentina,ARG
5,2010,10,China,CHN
5,2014,8,France,FRA
5,2024,9,Mexico,MEX
5,2014,6,Switzerland,CHE
5,2016,11,Argentina,ARG
5,2021,7,Argentina,ARG
5,2009,12,Russia,RUS
5,2010,2,Russia,RUS
5,2011,1,Russia,RUS
5,2016,3,China,CHN
5,2021,5,China,CHN
5,2009,10,China,CHN
5,2013,1,Japan,JPN
5,2011,5,India,IND
5,2013,2,France,FRA
5,2014,2,France,FRA
5,2009,2,Russia,RUS
5,2016,5,France,FRA
5,2012,11,Switzerland,CHE
5,2010,8,Russia,RUS
5,2014,4,China,CHN
5,2012,9,Russia,RUS
5,2021,3,China,CHN
5,2009,10,Canada,CAN
5,2022,10,Mexico,MEX
5,2009,4,Russia,RUS
5,2009,10,France,FRA
5,2020,8,Russia,RUS
5,2021,9,China,CHN
5,2020,7,Argentina,ARG
5,2009,7,China,CHN
5,2017,5,Switzerland,CHE
5,2009,10,Argentina,ARG
5,2019,12,Argentina,ARG
5,2010,11,Japan,JPN
5,2013,1,Canada,CAN
5,2014,12,Japan,JPN
5,2015,10,France,FRA
5,2017,4,Argentina,ARG
5,2010,4,Argentina,ARG
5,2024,6,Argentina,ARG
5,2014,5,China,CHN
5,2012,6,China,CHN
5,2016,8,Switzerland,CHE
5,2011,4,India,IND
5,2023,2,Mexico,MEX
5,2009,5,Russia,RUS
5,2011,11,Russia,RUS
5,2017,2,Japan,JPN
5,2010,1,Argentina,ARG
5,2018,1,Japan,JPN
5,2014,3,China,CHN
5,2018,2,France,FRA
5,2013,11,Switzerland,CHE
5,2017,10,Mexico,MEX
5,2014,6,Japan,JPN
5,2014,5,France,FRA
5,2015,2,Argentina,ARG
5,2011,8,France,FRA
5,2021,10,Japan,JPN
5,2020,5,Argentina,ARG
5,2024,8,France,FRA
5,2021,11,China,CHN
5,2023,11,Argentina,ARG
5,2019,4,Argentina,ARG
5,2010,9,Japan,JPN
5,2012,5,Canada,CAN
5,2009,3,Japan,JPN
5,2021,1,Russia,RUS
5,2017,4,Russia,RUS
4,2011,1,Switzerland,CHE
4,2012,1,Argentina,ARG
4,2019,2,Mexico,MEX
4,2017,10,Argentina,ARG
4,2018,5,Japan,JPN
4,2025,3,Mexico,MEX
4,2017,8,Mexico,MEX
4,2019,1,Switzerland,CHE
4,2017,2,Argentina,ARG
4,2013,10,Switzerland,CHE
4,2017,2,Germany,DEU
4,2011,2,Russia,RUS
4,2016,10,China,CHN
4,2019,5,Brazil,BRA
4,2012,8,France,FRA
4,2009,3,China,CHN
4,2022,7,Argentina,ARG
4,2009,11,India,IND
4,2019,9,China,CHN
4,2010,11,France,FRA
4,2018,9,Japan,JPN
4,2020,1,Russia,RUS
4,2015,8,China,CHN
4,2021,10,China,CHN
4,2022,6,Switzerland,CHE
4,2016,11,Germany,DEU
4,2015,9,Mexico,MEX
4,2022,9,Switzerland,CHE
4,2010,3,France,FRA
4,2009,12,Japan,JPN
4,2009,11,France,FRA
4,2019,3,France,FRA
4,2015,2,China,CHN
4,2022,11,Mexico,MEX
4,2008,12,Canada,CAN
4,2021,7,China,CHN
4,2011,7,India,IND
4,2009,8,China,CHN
4,2013,4,Argentina,ARG
4,2011,12,Switzerland,CHE
4,2020,1,Japan,JPN
4,2013,8,Canada,CAN
4,2015,5,China,CHN
4,2012,7,Switzerland,CHE
4,2012,7,Russia,RUS
4,2012,8,Switzerland,CHE
4,2012,11,France,FRA
4,2024,10,Argentina,ARG
4,2019,8,China,CHN
4,2023,2,Argentina,ARG
4,2014,4,Argentina,ARG
4,2010,9,Mexico,MEX
4,2022,11,Switzerland,CHE
4,2019,9,Mexico,MEX
4,2011,3,Canada,CAN
4,2012,1,Russia,RUS
4,2019,6,Russia,RUS
4,2017,5,Argentina,ARG
4,2010,8,France,FRA
4,2009,1,Japan,JPN
4,2011,12,India,IND
4,2010,1,Switzerland,CHE
4,2013,5,Japan,JPN
4,2012,5,France,FRA
4,2024,7,Mexico,MEX
4,2019,11,Russia,RUS
4,2011,9,China,CHN
4,2013,6,Russia,RUS
4,2013,9,Switzerland,CHE
4,2011,11,China,CHN
4,2017,6,Argentina,ARG
4,2015,11,Switzerland,CHE
4,2013,8,France,FRA
4,2018,8,Mexico,MEX
4,2019,6,India,IND
4,2015,2,Japan,JPN
4,2015,1,France,FRA
4,2012,1,Switzerland,CHE
4,2010,6,India,IND
4,2019,8,Russia,RUS
4,2015,7,China,CHN
4,2018,6,Japan,JPN
4,2025,1,France,FRA
4,2019,6,China,CHN
4,2018,5,China,CHN
4,2012,7,France,FRA
4,2024,5,Mexico,MEX
4,2022,6,Mexico,MEX
4,2014,4,India,IND
4,2010,7,Mexico,MEX
4,2016,4,Mexico,MEX
4,2014,2,China,CHN
4,2024,1,Canada,CAN
4,2019,8,Japan,JPN
4,2015,6,Switzerland,CHE
4,2024,9,France,FRA
4,2012,10,Argentina,ARG
4,2019,3,Russia,RUS
4,2015,3,Switzerland,CHE
4,2009,8,Argentina,ARG
4,2017,11,Japan,JPN
4,2010,3,Russia,RUS
4,2024,1,Russia,RUS
4,2020,2,Japan,JPN
4,2010,4,Japan,JPN
4,2013,3,India,IND
4,2011,4,France,FRA
4,2015,6,China,CHN
4,2020,10,Russia,RUS
4,2010,9,Russia,RUS
4,2011,2,China,CHN
4,2021,4,China,CHN
4,2012,12,Switzerland,CHE
4,2011,2,France,FRA
4,2021,7,Japan,JPN
4,2012,6,Switzerland,CHE
4,2021,2,China,CHN
4,2017,7,China,CHN
4,2012,6,France,FRA
4,2010,10,Mexico,MEX
4,2017,8,Japan,JPN
4,2013,11,China,CHN
4,2023,1,Argentina,ARG
4,2013,10,Japan,JPN
4,2014,7,Argentina,ARG
4,2014,10,Japan,JPN
4,2017,7,Switzerland,CHE
4,2011,9,France,FRA
4,2018,3,Argentina,ARG
4,2016,11,France,FRA
4,2010,10,France,FRA
3,2009,1,Russia,RUS
3,2014,10,Mexico,MEX
3,2010,6,Japan,JPN
3,2016,1,Mexico,MEX
3,2022,8,Argentina,ARG
3,2013,9,Canada,CAN
3,2009,8,Mexico,MEX
3,2020,5,China,CHN
3,2010,3,China,CHN
3,2011,6,India,IND
3,2018,10,Argentina,ARG
3,2014,2,Japan,JPN
3,2014,6,Argentina,ARG
3,2013,9,Argentina,ARG
3,2010,1,Russia,RUS
3,2020,4,Argentina,ARG
3,2023,4,Switzerland,CHE
3,2015,5,Switzerland,CHE
3,2010,10,Argentina,ARG
3,2010,9,China,CHN
3,2015,11,Argentina,ARG
3,2019,7,Russia,RUS
3,2020,8,Mexico,MEX
3,2010,7,Russia,RUS
3,2017,12,Japan,JPN
3,2021,2,Russia,RUS
3,2013,5,Canada,CAN
3,2011,10,Canada,CAN
3,2014,11,Japan,JPN
3,2024,8,Japan,JPN
3,2015,10,Japan,JPN
3,2008,10,France,FRA
3,2021,5,Japan,JPN
3,2011,3,Japan,JPN
3,2011,7,Mexico,MEX
3,2025,2,Argentina,ARG
3,2015,3,Mexico,MEX
3,2013,4,Japan,JPN
3,2015,7,Japan,JPN
3,2023,9,Switzerland,CHE
3,2023,5,Japan,JPN
3,2024,2,Argentina,ARG
3,2012,3,Argentina,ARG
3,2020,2,France,FRA
3,2017,7,Japan,JPN
3,2009,10,Japan,JPN
3,2016,3,Switzerland,CHE
3,2021,8,Japan,JPN
3,2017,4,Switzerland,CHE
3,2017,10,Japan,JPN
3,2014,2,Canada,CAN
3,2012,9,Argentina,ARG
3,2016,1,Brazil,BRA
3,2012,10,Switzerland,CHE
3,2012,11,China,CHN
3,2020,10,Japan,JPN
3,2018,5,Russia,RUS
3,2023,7,Argentina,ARG
3,2024,8,Argentina,ARG
3,2018,8,Japan,JPN
3,2021,3,Russia,RUS
3,2019,8,France,FRA
